id,email,Event Type,Message Name,Business Unit,Timestamp
1,ukolin0@newsvine.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-02-06 00:00:00
2,khasted1@ameblo.jp,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,5/29/2024
3,msteagall2@cisco.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-08-07 00:00:00
4,sdecristoforo3@naver.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,12/17/2024
5,rvonwelldun4@printfriendly.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,12/21/2023
6,naxtell5@samsung.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,
7,oliddell6@nature.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,
8,gsnelson7@ameblo.jp,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,
9,sdoyley8@reference.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-08-09 00:00:00
10,lkynsey9@wikispaces.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,11/27/2024
11,jliverseegea@microsoft.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,
12,,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-03-11 00:00:00
13,cshapirac@indiegogo.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-08-06 00:00:00
14,sfollid@weibo.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-06-01 00:00:00
15,rbuftone@amazon.de,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-11-10 00:00:00
16,kyeomansf@apple.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,
17,tpiersong@naver.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,7/20/2024
18,wkeunekeh@twitter.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,6/18/2024
19,mcabrali@yelp.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,11/22/2024
20,kmoorcraftj@geocities.jp,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-02-10 00:00:00
21,rlindgrenk@clickbank.net,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-12-02 00:00:00
22,rizzettl@instagram.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-05-05 00:00:00
23,crowatm@livejournal.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,8/17/2024
24,igoslinn@studiopress.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,12/20/2023
25,asayeo@sciencedaily.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2/19/2024
26,nglasbeyp@posterous.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,4/26/2024
27,vbayfordq@ocn.ne.jp,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,1/31/2024
28,hcoder@un.org,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,3/31/2024
29,,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-08-04 00:00:00
30,btierneyt@admin.ch,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-12-11 00:00:00
31,tdorkensu@mac.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,10/17/2024
32,,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-10-03 00:00:00
33,jinkerw@themeforest.net,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2/22/2024
34,nchardinx@hubpages.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,1/29/2024
35,dgirkiny@privacy.gov.au,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2/21/2024
36,mwilmingtonz@mapy.cz,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,
37,arhead10@nasa.gov,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,10/28/2024
38,hockland11@blogger.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2/18/2024
39,jschukraft12@seesaa.net,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,7/24/2024
40,zrisson13@issuu.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-01-02 00:00:00
41,mscemp14@google.es,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,
42,mthornebarrow15@etsy.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,
43,gdymick16@wiley.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,4/24/2024
44,ryurikov17@spotify.com,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,
45,hcasswell18@geocities.jp,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-06-01 00:00:00
46,lgrayham19@whitehouse.gov,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,2024-10-09 00:00:00
47,,Sent Email,VACACIONES DE NAVIDAD,CENTRAL DIVISION,
