id,first_name,last_name,email,gender,CRM ID,Products,Postal Code,Profiling Consents,Comms. Consents,Loyalty Program,Loyalty Status
1,Una,Kolin,ukolin0@newsvine.com,Female,52410-3040,"[{2023-04-01,Telefonía,P-001,2025-03-31}",31236.0,False,0.0,False,
2,Kaila,Hasted,khasted1@ameblo.jp,,51285-697,"[{2021-04-01,Telefonía,P-001,2025-03-31},{2024-06-01,Fibra,P-002,2028-03-31}",,False,1.0,True,Silver
3,Magdaia,Steagall,msteagall2@cisco.com,Female,33992-1108,"[{2023-04-01,Telefonía,P-001,2025-03-31}",68203.0,False,0.0,False,
4,Sherill,De Cristoforo,sdecristoforo3@naver.com,,54868-2482,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
5,Rory,Von Welldun,rvonwelldun4@printfriendly.com,,11410-301,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,,False,
6,Natty,Axtell,naxtell5@samsung.com,,64406-922,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,1.0,False,
7,Onofredo,Liddell,oliddell6@nature.com,,0168-0417,"[{2023-04-01,Telefonía,P-001,2025-03-31}",92896.0,True,1.0,False,
8,Guglielma,Snelson,gsnelson7@ameblo.jp,,0378-0473,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,True,0.0,True,Bronze
9,Scot,Doyley,sdoyley8@reference.com,Male,52554-1001,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",85029.0,False,1.0,True,Platinum 
10,Leila,Kynsey,lkynsey9@wikispaces.com,,49035-511,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,False,0.0,True,Gold
11,Jarib,Liverseege,jliverseegea@microsoft.com,,68093-7091,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,0.0,True,Gold
12,Dodie,Georgius,,Female,76237-258,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",15358.0,False,0.0,True,Gold
13,Cristine,Shapira,cshapirac@indiegogo.com,Female,0126-0131,"[{2023-04-01,Telefonía,P-001,2025-03-31}",89023.0,False,0.0,False,
14,Stafford,Folli,sfollid@weibo.com,,48951-2064,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,False,0.0,True,Platinum
15,Raoul,Bufton,rbuftone@amazon.de,,54569-1096,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,0.0,True,Gold
16,Kassie,Yeomans,kyeomansf@apple.com,,61957-1920,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,1.0,True,Silver
17,Town,Pierson,tpiersong@naver.com,Polygender,43857-0096,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,True,0.0,True,Silver
18,Wileen,Keuneke,wkeunekeh@twitter.com,,49348-229,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,True,0.0,True,Bronze
19,Melanie,Cabral,mcabrali@yelp.com,,54340-800,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,True,0.0,True,Bronze
20,Kinny,Moorcraft,kmoorcraftj@geocities.jp,,0781-2201,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,True,1.0,False,
21,Rosette,Lindgren,rlindgrenk@clickbank.net,,10356-351,"[{2024-24-01,Telefonía,P-001,4000-03-31}",52008.0,False,,True,Bronze
22,Rozanne,Izzett,rizzettl@instagram.com,,54575-099,"[{2024-24-01,Telefonía,P-001,4000-03-31}",,False,,True,Bronze
23,Courtnay,Rowat,crowatm@livejournal.com,,68703-042,"[{2023-04-01,Telefonía,P-001,2025-03-31}",50675.0,False,1.0,False,
24,Ivette,Goslin,igoslinn@studiopress.com,Female,52261-0203,"[{2023-04-01,Telefonía,P-001,2024-03-31},{2023-06-01,Fibra,P-002,2025-03-31},{2023-09-11,TV,P-003,4000-03-31},{2023-04-01,Segunda línea - Telefonía,P-004,2027-03-31},{2023-09-01,Pack Fútbol,P-005,2030-03-31},{2023-06-01,Segunda línea - Fibra,P-006,2030-03-31}]",,False,1.0,True,Silver
25,Allene,Saye,asayeo@sciencedaily.com,Female,68788-9864,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
26,Nixie,Glasbey,nglasbeyp@posterous.com,Female,36987-1344,"[{2023-04-01,Telefonía,P-001,2025-03-31}",,False,0.0,False,
